pos_x,pos_y,pos_z,tar_x,tar_y,tar_z,time
20.788148880004883,-10.842560768127441,14.980927467346191,3.0,5.0,17.0,8.01649022102356
20.78535270690918,-10.84170150756836,14.984498023986816,3.0,5.0,17.0,8.245022058486938
20.749156951904297,-10.817669868469238,15.025392532348633,3.0,5.0,17.0,8.499876260757446
20.649883270263672,-10.749773979187012,15.101901054382324,3.0,5.0,17.0,8.709007024765015
20.39763069152832,-10.57551383972168,15.260805130004883,3.0,5.0,17.0,8.963984727859497
20.006881713867188,-10.305784225463867,15.49081039428711,3.0,5.0,17.0,9.212624788284302
19.48627471923828,-9.946606636047363,15.775456428527832,3.0,5.0,17.0,9.469302415847778
18.848112106323242,-9.506181716918945,16.05950164794922,3.0,5.0,17.0,9.729178190231323
18.108158111572266,-8.990678787231445,16.298107147216797,3.0,5.0,17.0,9.969765186309814
17.26304054260254,-8.388853073120117,16.477807998657227,3.0,5.0,17.0,10.202475309371948
16.311614990234375,-7.686074733734131,16.600780487060547,3.0,5.0,17.0,10.457930564880371
15.474739074707031,-7.0418195724487305,16.667539596557617,3.0,5.0,17.0,10.671767711639404
14.340003967285156,-6.121606349945068,16.72480010986328,3.0,5.0,17.0,10.921027183532715
13.115345001220703,-5.064189910888672,16.76471519470215,3.0,5.0,17.0,11.1582190990448
11.810003280639648,-3.875502109527588,16.796659469604492,3.0,5.0,17.0,11.403326272964478
10.712925910949707,-2.839566230773926,16.821727752685547,3.0,5.0,17.0,11.627187252044678
9.310503005981445,-1.4792969226837158,16.854873657226562,3.0,5.0,17.0,11.846218824386597
8.211963653564453,-0.3901011347770691,16.879751205444336,3.0,5.0,17.0,12.056411266326904
7.153634548187256,0.6749345064163208,16.900623321533203,3.0,5.0,17.0,12.25799036026001
5.917237281799316,1.9331276416778564,16.91874885559082,3.0,5.0,17.0,12.50722360610962
5.004486083984375,2.872551202774048,16.9278621673584,3.0,5.0,17.0,12.713561773300171
3.9563446044921875,3.966022253036499,16.93619155883789,3.0,5.0,17.0,12.944476127624512
3.1919851303100586,4.776627540588379,16.94215965270996,3.0,5.0,17.0,13.163429737091064
2.4980978965759277,5.52632999420166,16.948152542114258,3.0,5.0,17.0,13.365225553512573
1.8728400468826294,6.220660209655762,16.954435348510742,3.0,5.0,17.0,13.568666934967041
1.1856271028518677,6.997213840484619,16.96291732788086,3.0,5.0,17.0,13.79488229751587
0.714366614818573,7.5357489585876465,16.969717025756836,3.0,5.0,17.0,14.005884885787964
0.31693392992019653,7.995695114135742,16.976177215576172,3.0,5.0,17.0,14.22081184387207
-0.07744474709033966,8.458909034729004,16.983686447143555,3.0,5.0,17.0,14.450732707977295
-0.3101859390735626,8.736602783203125,16.988996505737305,3.0,5.0,17.0,14.673335552215576
-0.49769213795661926,8.963726997375488,16.994239807128906,3.0,5.0,17.0,14.911767482757568
-0.5648643970489502,9.047876358032227,16.997291564941406,3.0,5.0,17.0,15.114303827285767
-0.5585116744041443,9.04455280303955,16.999269485473633,3.0,5.0,17.0,15.318625926971436
-0.4478995203971863,8.918665885925293,17.00054931640625,3.0,5.0,17.0,15.556469202041626
-0.22374758124351501,8.65928840637207,17.001020431518555,3.0,5.0,17.0,15.802115678787231
0.03553188964724541,8.357605934143066,17.00131607055664,-1.0,12.0,16.0,16.00594687461853
0.34645694494247437,7.996598243713379,17.000093460083008,-1.0,12.0,16.0,16.206990718841553
0.7638693451881409,7.509061336517334,16.96488380432129,-1.0,12.0,16.0,16.454195499420166
1.1605134010314941,7.034832954406738,16.865816116333008,-1.0,12.0,16.0,16.72015357017517
1.42985200881958,6.7025532722473145,16.746767044067383,-1.0,12.0,16.0,16.922996520996094
